                                                                                          05 Oct 2016 16:28:24
 AGI Educational Alliance Partner
Planet-Moon:  Relative ECF Position & Velocity


Time (EpSec)        x (km)            y (km)            z (km)       vx (km/sec)    vy (km/sec)    vz (km/sec)
  273618.000    -186885.388843     323580.235667     73610.497100      22.810133      13.032367       0.292558
  277218.000     -99793.359357     359639.687018     74660.189931      25.314593       6.896286       0.290598
  280818.000      -6565.775057     372725.247969     75702.772349      26.201318       0.337532       0.288608
  284418.000      86848.346139     362065.137723     76738.133381      25.418467      -6.225237       0.286587
  288018.000     174505.072725     328400.999606     77766.162331      23.020635     -12.374384       0.284535
  291618.000     250843.863623     273936.069140     78786.748790      19.165026     -17.719877       0.282452
  295218.000     311040.228354     202190.474015     79799.782657      14.101115     -21.924023       0.280339
  298818.000     351310.381620     117773.203467     80805.154144       8.154465     -24.722785       0.278195
  302418.000     369148.670931      26085.554797     81802.753796       1.705761     -25.942331       0.276021
  306018.000     363482.907879     -67024.829082     82792.472502      -4.833586     -25.509790       0.273817
  308041.453     350078.271596    -117756.099527     83345.263465      -8.392437     -24.549257       0.272565
