                                                                                         05 Oct 2016 16:27:53
 AGI Educational Alliance Partner
Satellite-Satellite1:  Fixed Position & Velocity


Time (EpSec)        x (km)            y (km)           z (km)       vx (km/sec)    vy (km/sec)    vz (km/sec)
  273618.000    -199967.165916     323548.688686    73886.378121      21.480920      13.774946       0.339274
  277218.000    -117099.648009     363473.177779    75101.058578      24.331741       8.281001       0.335675
  280818.000     -26480.688464     382486.058740    76303.919566      25.766183       2.216138       0.332650
  284418.000      66604.054685     379176.973810    77496.526477      25.692683      -4.058687       0.329950
  288018.000     156679.997564     353456.847034    78679.805195      24.099905     -10.172617       0.327453
  291618.000     238387.029699     306565.073544    79854.350934      21.063026     -15.761645       0.325090
  295218.000     306789.642512     241009.749690    81020.572858      16.741961     -20.488257       0.322823
  298818.000     357670.177168     160437.010486    82178.768280      11.373940     -24.060839       0.320628
  302418.000     387786.450396      69433.558426    83329.163868       5.261256     -26.251156       0.318488
  306018.000     395077.649580     -26728.434047    84471.939747      -1.245085     -26.908690       0.316394
  308041.453     388822.064374     -80927.870934    85110.972176      -4.932967     -26.578123       0.315233
